,gsw,,phi,,hou,
Game,total w/l GSW,+/- GSW,total w/l PHI,+/- PHI,total w/l HOU,+/- HOU
1,1,16,-1,-17,-1,-20
2,2,20,-2,-28,-2,-20
3,3,14,-3,-7,-3,-20
4,4,50,-4,-4,-2,5
5,5,4,-5,-6,-1,5
6,6,15,-6,-8,0,6
7,7,9,-7,-23,1,4
8,8,14,-8,-16,0,-8
9,9,16,-9,-17,-1,-9
10,10,13,-10,-9,-2,-12
11,11,8,-11,-6,-3,-16
12,12,5,-12,-27,-2,5
13,13,7,-13,-25,-3,-12
14,14,12,-14,-5,-4,-5
15,15,13,-15,-5,-5,-9
16,16,34,-16,-4,-4,2
17,17,19,-17,-2,-3,5
18,18,19,-18,-8,-4,-11
19,19,3,-17,12,-3,7
20,20,17,-18,-12,-2,4
21,21,3,-19,-3,-1,7
22,22,16,-20,-51,-2,-5
23,23,8,-21,-9,-1,6
24,24,5,-22,-12,0,29
25,23,-13,-23,-20,-1,-6
26,24,25,-24,-19,-2,-10
27,25,9,-25,-21,-1,20
28,26,18,-26,-10,0,10
29,27,6,-27,-22,1,7
30,28,19,-28,-14,0,-3
31,27,-23,-29,-13,1,4
32,28,4,-28,7,0,-2
33,29,3,-29,-4,-1,-6
34,30,10,-28,5,-2,-4
35,31,21,-29,-9,-3,-18
36,32,20,-30,-31,-2,2
37,33,12,-29,10,-1,9
38,34,8,-30,-28,0,4
39,33,-2,-31,-13,1,16
40,34,18,-32,-10,2,3
41,33,-18,-33,-4,1,-14
42,34,34,-32,25,2,17
43,35,31,-33,-6,1,-8
44,36,12,-32,9,0,-9
45,37,30,-33,-20,1,4
46,38,20,-32,10,2,11
47,39,3,-33,-13,3,1
48,40,21,-34,-3,2,-31
49,41,13,-35,-38,1,-8
50,42,8,-36,-12,0,-1
51,43,13,-35,5,1,13
52,44,8,-36,-6,2,6
53,43,-32,-37,-4,1,-17
54,44,3,-38,-7,0,-13
55,45,10,-39,-26,-1,-13
56,46,6,-40,-9,0,16
57,47,16,-41,-20,-1,-3
58,48,3,-42,-9,0,14
59,49,4,-43,-14,-1,-10
60,50,15,-44,-8,-2,-7
61,49,-17,-45,-20,-1,5
62,50,6,-46,-10,-2,-8
63,51,21,-47,-5,-1,6
64,52,16,-48,-14,0,14
65,53,7,-47,6,1,4
66,54,18,-48,-14,0,-16
67,55,36,-49,-17,1,49
68,56,18,-50,-5,0,-16
69,55,-8,-51,-14,1,5
70,56,5,-52,-15,0,-12
71,57,16,-53,-16,-1,-4
72,58,8,-54,-1,-2,-2
73,59,12,-55,-3,-1,3
74,60,8,-56,-12,-2,-3
75,61,7,-57,-15,-1,6
76,60,-3,-58,-9,-2,-3
77,61,25,-59,-13,-1,8
78,60,-7,-58,14,-2,-2
79,61,11,-59,-7,-3,-9
80,62,1,-60,-1,-2,20
81,63,6,-61,-24,-1,24
82,64,21,-62,-10,0,35
