season,dpoy,drbpg,spg+ bpg,pfpg
1982-1983,Sidney Moncrief,3.223684211,1.789473684,2.368421053
1983-1984,Sidney Moncrief,3.962025316,1.708860759,2.582278481
1984-1985,Mark Eaton,8.780487805,6,3.804878049
1985-1986,Alvin Robertson,4.048780488,4.158536585,3.609756098
1986-1987,Michael Cooper,2.390243902,1.475609756,2.426829268
1987-1988,Michael Jordan,3.780487805,4.756097561,3.292682927
1988-1989,Mark Eaton,7.512195122,4.329268293,3.536585366
89-90,Rodman,5.6,1.3,3.4
90-91,Rodman,8.1,1.5,3.4
91-92,Robinson,8.4,6.8,3.2
92-93,Olajuwon,9.6,6,3.7
93-94,Olajuwon,9.1,5.3,3.6
94-95,Mutombo,8.7,4.4,3.5
95-96,Payton,2.9,3.1,2.7
96-97,Mutombo,8.3,3.9,3.1
97-98,Mutombo,8,3.8,3.1
98-99,Mourning,7.4,4.6,3.5
99-00,Alonzo Mourning,6.8,4.2,3.9
00-01,Dikembe Mutombo,9.4,3.1,2.7
01-Feb,Ben Wallace,9,5.2,2.2
02-Mar,Ben Wallace,11.4,4.6,2.5
03-Apr,Metta World Peace,3.9,2.8,2.7
04-May,Ben Wallace,8.2,3.8,2.1
05-Jun,Ben Wallace,7.6,4,2
06-Jul,Marcus Camby,9.3,4.5,2.6
07-Aug,Kevin Garnett,7.3,2.7,2.3
08-Sep,Dwight Howard,9.6,3.9,3.4
